##Query peptide: GAALTTFISLAGR
##Number of matched proteins: 496
#Protein AC	Protein ID	Protein Name	Length	Organism	Matched Range(s)	Proteomic Databases	IEDB
F7T3D0	F7T3D0_ALCXX [tr]	Ribonuclease E	1020	Achromobacter xylosoxidans AXX-A [1003200]	112-124		
F8FS43	F8FS43_PSEPU [tr]	Ribonuclease	1060	Pseudomonas putida S16 [1042876]	93-105		
F8H3U4	F8H3U4_PSEUT [tr]	Ribonuclease E	1052	Pseudomonas stutzeri (strain ATCC 17588 / DSM 5190 / CCUG 11256 / JCM 5965 / LMG 11199 / NCIMB 11358 / Stanier 221) [96563]	108-120		
F9EYI4	F9EYI4_9NEIS [tr]	Ribonuclease E	1012	Neisseria macacae ATCC 33926 [997348]	113-125		
F9U2X4	F9U2X4_MARPU [tr]	Ribonuclease, Rne/Rng family	1008	Marichromatium purpuratum 984 [765910]	114-126		
F9UD81	F9UD81_9GAMM [tr]	Ribonuclease, Rne/Rng family	1152	Thiocapsa marina 5811 [768671]	154-166		
G0CEX7	G0CEX7_XANCA [tr]	Ribonuclease E	1189	Xanthomonas campestris pv. raphani 756C [990315]	109-121		
G0ERA0	G0ERA0_CUPNN [tr]	Ribonuclease E	1037	Cupriavidus necator (strain ATCC 43291 / DSM 13513 / N-1) (Ralstonia eutropha) [1042878]	112-124		
G0JVQ1	G0JVQ1_STEMA [tr]	Ribonuclease, Rne/Rng family	1099	Stenotrophomonas maltophilia JV3 [868597]	112-124		
G2DLE8	G2DLE8_9NEIS [tr]	Ribonuclease E	936	Neisseria weaveri LMG 5135 [1051985]	108-120		
G2DUK3	G2DUK3_9NEIS [tr]	Ribonuclease E	936	Neisseria weaveri ATCC 51223 [1051972]	108-120		
G2DY57	G2DY57_9GAMM [tr]	Ribonuclease, Rne/Rng family	980	Thiorhodococcus drewsii AZ1 [765913]	114-126		
G2FFC6	G2FFC6_9GAMM [tr]	Ribonuclease E	985	endosymbiont of Tevnia jerichonana (vent Tica) [1049564]	111-123		
G2L903	G2L903_PSEAI [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa M18 [941193]	108-120		
G2LTY4	G2LTY4_9XANT [tr]	Ribonuclease E	1226	Xanthomonas axonopodis pv. citrumelo F1 [981368]	112-124		
G2ZVC6	G2ZVC6_9RALS [tr]	Ribonuclease E	1000	blood disease bacterium R229 [741978]	112-124		
G3A844	G3A844_9RALS [tr]	Ribonuclease E	1023	Ralstonia syzygii R24 [907261]	122-134		
G3Z572	G3Z572_9NEIS [tr]	Putative uncharacterized protein	1010	Neisseria sp. GT4A_CT1 [665946]	111-123		
G4CKF3	G4CKF3_9NEIS [tr]	Ribonuclease E	981	Neisseria shayeganii 871 [1032488]	111-123		
G4CTD9	G4CTD9_9NEIS [tr]	Ribonuclease E	963	Neisseria wadsworthii 9715 [1030841]	111-123		
G4E7Q5	G4E7Q5_9GAMM [tr]	Ribonuclease, Rne/Rng family	679	Thiorhodospira sibirica ATCC 700588 [765914]	112-124		
G4LNY7	G4LNY7_PSEAI [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa NCGM2.S1 [1089456]	108-120		
G5FP58	G5FP58_9PSED [tr]	Putative uncharacterized protein	1072	Pseudomonas sp. 2_1_26 [665948]	126-138		
G6YW48	G6YW48_9ALTE [tr]	Ribonuclease	1073	Marinobacter manganoxydans MnI7-9 [1094979]	114-126		
G7HI50	G7HI50_9BURK [tr]	Ribonuclease E	1064	Burkholderia cenocepacia H111 [1055524]	112-124		
G7TGT9	G7TGT9_9XANT [tr]	Ribonuclease E	1239	Xanthomonas oryzae pv. oryzicola BLS256 [383407]	112-124		
G7UP39	G7UP39_PSEUP [tr]	Ribonuclease E	1099	Pseudoxanthomonas spadix (strain BD-a59) [1045855]	109-121		
G8M612	G8M612_9BURK [tr]	Ribonuclease E	1114	Burkholderia sp. YI23 [1097668]	112-124		
G8Q262	G8Q262_PSEFL [tr]	Ribonuclease E	1060	Pseudomonas fluorescens F113 [1114970]	108-120		
H0F649	H0F649_9BURK [tr]	Ribonuclease E	1017	Achromobacter arsenitoxydans SY8 [477184]	112-124		
H0J2Z8	H0J2Z8_9GAMM [tr]	Ribonuclease E	1084	Halomonas sp. GFAJ-1 [1118153]	111-123		
H0JD18	H0JD18_9PSED [tr]	Ribonuclease E	1090	Pseudomonas psychrotolerans L19 [1112217]	108-120		
H1RR24	H1RR24_COMTE [tr]	Ribonuclease E	988	Comamonas testosteroni ATCC 11996 [1009852]	109-121		
H1XJW4	H1XJW4_9XANT [tr]	Ribonuclease, Rne/Rng family domain protein	1224	Xanthomonas axonopodis pv. punicae str. LMG 859 [1085630]	112-124		
H3KI33	H3KI33_9BURK [tr]	S1 RNA binding domain protein	1076	Sutterella parvirubra YIT 11816 [762967]	112-124		
H3T025	H3T025_PSEAE [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa MPAO1/P1 [1131757]	108-120		
H3TCE9	H3TCE9_PSEAE [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa MPAO1/P2 [1131758]	108-120		
H5W9Y7	H5W9Y7_RALSL [tr]	Ribonuclease E	1020	Ralstonia solanacearum K60-1 [1091042]	112-124		
H7EX70	H7EX70_PSEST [tr]	Ribonuclease E	1041	Pseudomonas stutzeri ATCC 14405 = CCUG 16156 [32042]	108-120		
H8FJN4	H8FJN4_XANCI [tr]	Ribonuclease, Rne/Rng family domain protein	1223	Xanthomonas citri pv. mangiferaeindicae LMG 941 [1156940]	112-124		
H8L0U5	H8L0U5_FRAAD [tr]	Ribonuclease, Rne/Rng family	1086	Frateuria aurantia (strain ATCC 33424 / DSM 6220 / NBRC 3245 / NCIMB 13370) (Acetobacter aurantius) [767434]	112-124		
H8WBS0	H8WBS0_MARHY [tr]	Fused ribonucleaseE: endoribonuclease RNA-binding protein RNA degradosome binding protein	1056	Marinobacter hydrocarbonoclasticus ATCC 49840 [1163748]	114-126		
H8YHY9	H8YHY9_SIMAS [tr]	RNaseE	934	Simiduia agarivorans (strain DSM 21679 / JCM 13881 / BCRC 17597 / SA1) [1117647]	111-123		
H8YXD8	H8YXD8_9GAMM [tr]	Ribonuclease, Rne/Rng family	1016	Thiorhodovibrio sp. 970 [631362]	114-126		
I0KQL3	I0KQL3_STEMA [tr]	Ribonuclease E	1085	Stenotrophomonas maltophilia D457 [1163399]	109-121		
I1AAS0	I1AAS0_PSEAI [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa PADK2_CF510 [1134459]	108-120		
I1WGX4	I1WGX4_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei 1026b [884204]	112-124		
I1XMY5	I1XMY5_METNJ [tr]	Ribonuclease E	805	Methylophaga sp. (strain JAM1) [754476]	116-128		
I1YHQ2	I1YHQ2_METFJ [tr]	Ribonuclease E	814	Methylophaga sp. (strain JAM7) [754477]	116-128		
I2BMF2	I2BMF2_PSEFL [tr]	Ribonuclease E	1055	Pseudomonas fluorescens A506 [1037911]	111-123		
I2DL44	I2DL44_9BURK [tr]	Ribonuclease E	1063	Burkholderia sp. KJ006 [416344]	112-124		
I2HJV6	I2HJV6_NEIME [tr]	Ribonuclease E	918	Neisseria meningitidis NM220 [1053687]	111-123		
I2HLE0	I2HLE0_NEIME [tr]	Ribonuclease E	918	Neisseria meningitidis NM233 [1055328]	111-123		
I2IHN7	I2IHN7_9BURK [tr]	Ribonuclease, Rne/Rng family	1086	Burkholderia sp. Ch1-1 [243261]	112-124		
I2JJT4	I2JJT4_9GAMM [tr]	Ribonuclease, Rne/Rng family protein	937	gamma proteobacterium BDW918 [1168065]	115-127		
I2LIQ6	I2LIQ6_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei 1026a [1085027]	112-124		
I2LL36	I2LL36_BURPE [tr]	Ribonuclease E	1083	Burkholderia pseudomallei 1258a [1086032]	112-124		
I2LRZ1	I2LRZ1_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei 1258b [1086033]	112-124		
I2MDC8	I2MDC8_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei 354e [1086036]	112-124		
I2MQJ2	I2MQJ2_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei 354a [1086034]	112-124		
I2NN48	I2NN48_NEISI [tr]	Ribonuclease E/G family protein	1006	Neisseria sicca VK64 [1095748]	108-120		
I3CJD6	I3CJD6_9GAMM [tr]	Ribonuclease, Rne/Rng family	784	Beggiatoa alba B18LD [395493]	139-151		
I3ICN9	I3ICN9_9GAMM [tr]	Ribonuclease, Rne/Rng family protein	939	Cellvibrio sp. BR [1134474]	114-126		
I3UQP7	I3UQP7_PSEPU [tr]	Ribonuclease	1078	Pseudomonas putida ND6 [231023]	111-123		
I3YAX3	I3YAX3_THIV6 [tr]	RNAse E	1036	Thiocystis violascens (strain ATCC 17096 / DSM 198 / 6111) (Chromatium violascens) [765911]	114-126		
I4CVA6	I4CVA6_PSEST [tr]	Ribonuclease E	1035	Pseudomonas stutzeri CCUG 29243 [1196835]	108-120		
I4JN61	I4JN61_PSEST [tr]	Ribonuclease E	997	Pseudomonas stutzeri TS44 [477228]	98-110		
I4KGW9	I4KGW9_PSEFL [tr]	Ribonuclease E	1050	Pseudomonas fluorescens SS101 [1038924]	111-123		
I4KNB0	I4KNB0_PSEFL [tr]	Ribonuclease E	1065	Pseudomonas fluorescens Q8r1-96 [1038923]	111-123		
I4L935	I4L935_9PSED [tr]	Ribonuclease E	1052	Pseudomonas synxantha BG33R [96901]	111-123		
I4MMT9	I4MMT9_9BURK [tr]	Ribonuclease E	970	Hydrogenophaga sp. PBC [795665]	112-124		
I4MW14	I4MW14_9PSED [tr]	Ribonuclease E	1126	Pseudomonas sp. M47T1 [1179778]	108-120		
I4VSN6	I4VSN6_9GAMM [tr]	Ribonuclease E	1033	Rhodanobacter fulvus Jip2 [1163408]	112-124		
I4W6T1	I4W6T1_9GAMM [tr]	Ribonuclease E	1067	Rhodanobacter spathiphylli B39 [1163407]	109-121		
I4WI69	I4WI69_9GAMM [tr]	Ribonuclease E	1052	Rhodanobacter thiooxydans LCS2 [1163409]	112-124		
I4WXG6	I4WXG6_9GAMM [tr]	Ribonuclease E	1054	Rhodanobacter sp. 116-2 [1076650]	112-124		
I4XS36	I4XS36_9PSED [tr]	Ribonuclease E	1065	Pseudomonas chlororaphis O6 [1037915]	111-123		
I5CDX5	I5CDX5_9BURK [tr]	Ribonuclease E	1097	Burkholderia terrae BS001 [1171375]	112-124		
I6AHN6	I6AHN6_BURTH [tr]	Ribonuclease E	1045	Burkholderia thailandensis MSMB43 [441157]	109-121		
I6RJF4	I6RJF4_PSEAI [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa DK2 [1093787]	108-120		
I7AEP9	I7AEP9_PSEST [tr]	Ribonuclease E	1014	Pseudomonas stutzeri DSM 10701 [1123519]	98-110		
I7C636	I7C636_PSEPU [tr]	Ribonuclease	1088	Pseudomonas putida DOT-T1E [1196325]	108-120		
I7IEK9	I7IEK9_PSEPS [tr]	Ribonuclease E	1022	Pseudomonas pseudoalcaligenes CECT 5344 [1182590]	112-124		
I7KFC9	I7KFC9_NEIME [tr]	Ribonuclease E	927	Neisseria meningitidis alpha704 [1200386]	119-131		
I7ZD35	I7ZD35_9GAMM [tr]	Uncharacterized protein	1079	Hydrocarboniphaga effusa AP103 [1172194]	108-120		
I9W7G3	I9W7G3_9RALS [tr]	Ribonuclease G and E	1049	Ralstonia sp. PBA [795666]	112-124		
J0PFF7	J0PFF7_9PSED [tr]	Ribonuclease E	1081	Pseudomonas sp. Ag1 [1197727]	108-120		
J0UV85	J0UV85_ALCFA [tr]	Ribonuclease E	1113	Alcaligenes faecalis subsp. faecalis NCIB 8687 [1156918]	112-124		
J2KYT2	J2KYT2_9BURK [tr]	Ribonuclease, Rne/Rng family	1068	Variovorax sp. CF313 [1144315]	112-124		
J2MSP9	J2MSP9_9PSED [tr]	Ribonuclease, Rne/Rng family	1073	Pseudomonas sp. GM16 [1144322]	111-123		
J2QBH1	J2QBH1_9PSED [tr]	Ribonuclease, Rne/Rng family (Fragment)	700	Pseudomonas sp. GM33 [1144329]	111-123		
J2UQR4	J2UQR4_9PSED [tr]	Ribonuclease, Rne/Rng family (Fragment)	709	Pseudomonas sp. GM74 [1144336]	111-123		
J2V1X7	J2V1X7_9PSED [tr]	Ribonuclease, Rne/Rng family	1060	Pseudomonas sp. GM102 [1144321]	111-123		
J2XBC2	J2XBC2_9PSED [tr]	Ribonuclease, Rne/Rng family	1078	Pseudomonas sp. GM80 [1144339]	111-123		
J2XTE5	J2XTE5_9PSED [tr]	Ribonuclease, Rne/Rng family	1077	Pseudomonas sp. GM30 [1144328]	111-123		
J2Y088	J2Y088_9PSED [tr]	Ribonuclease, Rne/Rng family	1085	Pseudomonas sp. GM84 [1144340]	111-123		
J2YER7	J2YER7_PSEFL [tr]	Ribonuclease E	1073	Pseudomonas fluorescens Q2-87 [1038922]	111-123		
J2YLQ3	J2YLQ3_9PSED [tr]	Ribonuclease E	1070	Pseudomonas chlororaphis subsp. aureofaciens 30-84 [1038921]	111-123		
J3B3E0	J3B3E0_9PSED [tr]	Ribonuclease, Rne/Rng family (Fragment)	1029	Pseudomonas sp. GM55 [1144333]	111-123		
J3BA21	J3BA21_9BURK [tr]	Ribonuclease, Rne/Rng family	1097	Burkholderia sp. BT03 [1144309]	112-124		
J3DJT5	J3DJT5_9PSED [tr]	Ribonuclease, Rne/Rng family	1063	Pseudomonas sp. GM79 [1144338]	111-123		
J3E6Q6	J3E6Q6_9PSED [tr]	Ribonuclease, Rne/Rng family	1068	Pseudomonas sp. GM17 [1144323]	111-123		
J3EC27	J3EC27_9PSED [tr]	Ribonuclease, Rne/Rng family (Fragment)	947	Pseudomonas sp. GM18 [1144324]	111-123		
J3EUB7	J3EUB7_9PSED [tr]	Ribonuclease, Rne/Rng family	1060	Pseudomonas sp. GM21 [1144325]	111-123		
J3FF51	J3FF51_9PSED [tr]	Ribonuclease, Rne/Rng family	1081	Pseudomonas sp. GM25 [1144327]	111-123		
J3FLV6	J3FLV6_9PSED [tr]	Ribonuclease, Rne/Rng family	1073	Pseudomonas sp. GM24 [1144326]	111-123		
J3G0U4	J3G0U4_9PSED [tr]	Ribonuclease, Rne/Rng family	1076	Pseudomonas sp. GM41(2012) [1144708]	111-123		
J3G892	J3G892_9PSED [tr]	Ribonuclease, Rne/Rng family	1067	Pseudomonas sp. GM48 [1144330]	111-123		
J3GBZ1	J3GBZ1_9PSED [tr]	Ribonuclease, Rne/Rng family	1063	Pseudomonas sp. GM50 [1144332]	111-123		
J3GGS3	J3GGS3_9PSED [tr]	Ribonuclease, Rne/Rng family (Fragment)	1024	Pseudomonas sp. GM49 [1144331]	111-123		
J3GZH9	J3GZH9_9PSED [tr]	Ribonuclease, Rne/Rng family	1072	Pseudomonas sp. GM60 [1144334]	111-123		
J3H7P3	J3H7P3_9PSED [tr]	Ribonuclease, Rne/Rng family	1072	Pseudomonas sp. GM67 [1144335]	111-123		
J3I6Q0	J3I6Q0_9PSED [tr]	Ribonuclease, Rne/Rng family	1087	Pseudomonas sp. GM78 [1144337]	111-123		
J4J8A0	J4J8A0_9BURK [tr]	Ribonuclease E	1034	Achromobacter piechaudii HLE [1156919]	112-124		
J4JLT6	J4JLT6_9BURK [tr]	Ribonuclease E/G family protein (Fragment)	740	Burkholderia multivorans CF2 [985078]	109-121		
J4S5K6	J4S5K6_9BURK [tr]	Ribonuclease E/G family protein (Fragment)	759	Burkholderia multivorans ATCC BAA-247 [985079]	109-121		
J7DDX2	J7DDX2_PSEAI [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa CIG1 [1163397]	111-123		
J7J3S3	J7J3S3_BURCE [tr]	Ribonuclease	1055	Burkholderia cepacia GG4 [1009846]	112-124		
J7RKP2	J7RKP2_BORP1 [tr]	Ribonuclease E	1040	Bordetella pertussis (strain ATCC 9797 / DSM 5571 / NCTC 10739 / 18323) [568706]	112-124		
J7UB16	J7UB16_PSEME [tr]	Ribonuclease E	999	Pseudomonas mendocina DLHK [1197721]	99-111		
J7UVU1	J7UVU1_STEMA [tr]	Rne/Rng family ribonuclease	1095	Stenotrophomonas maltophilia Ab55555 [1183154]	112-124		
J8T8H6	J8T8H6_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM255 [1069610]	111-123		
J8URX1	J8URX1_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis 80179 [1069617]	111-123		
J8VFG0	J8VFG0_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM3081 [1069621]	111-123		
J8WJ58	J8WJ58_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis 93004 [1069609]	111-123		
J8WMA0	J8WMA0_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis 93003 [1069608]	111-123		
J8WRB5	J8WRB5_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM183 [1069612]	111-123		
J8WSZ1	J8WSZ1_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM140 [1069611]	111-123		
J8X860	J8X860_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis 69166 [1069614]	111-123		
J8X8Z5	J8X8Z5_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM2781 [1069613]	111-123		
J8XIE2	J8XIE2_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis 98008 [1069616]	111-123		
J8XPU9	J8XPU9_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM576 [1069615]	111-123		
J8Y6M7	J8Y6M7_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis 92045 [1069618]	111-123		
J8Y9C3	J8Y9C3_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM2795 [1069620]	111-123		
J8YC44	J8YC44_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM2657 [1069619]	111-123		
J8YCB9	J8YCB9_NEIME [tr]	Ribonuclease E	919	Neisseria meningitidis NM3001 [1069622]	111-123		
K0CBR5	K0CBR5_ALCDB [tr]	Ribonuclease, Rne/Rng family protein	1126	Alcanivorax dieselolei (strain DSM 16502 / CGMCC 1.3690 / B-5) [930169]	111-123		
K0DKV1	K0DKV1_9BURK [tr]	Ribonuclease E	1084	Burkholderia phenoliruptrix BR3459a [1229205]	112-124		
K0HW93	K0HW93_9BURK [tr]	Ribonuclease	1031	Acidovorax sp. KKS102 [358220]	112-124		
K0ML77	K0ML77_BORPB [tr]	Ribonuclease E	1033	Bordetella parapertussis (strain Bpp5) [1208660]	109-121		
K0MWD5	K0MWD5_BORBM [tr]	Ribonuclease E	1045	Bordetella bronchiseptica (strain MO149) [1208658]	112-124		
K0WMQ4	K0WMQ4_PSEFL [tr]	Ribonuclease	1078	Pseudomonas fluorescens R124 [743713]	111-123		
K0XR52	K0XR52_PSEAI [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa PAO579 [1191475]	108-120		
K1APQ3	K1APQ3_PSEFL [tr]	Ribonuclease, Rne/Rng family protein	1084	Pseudomonas fluorescens BBc6R8 [463794]	108-120		
K1C0B7	K1C0B7_PSEAI [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa ATCC 14886 [1163392]	111-123		
K1CPI0	K1CPI0_PSEAI [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa CI27 [1163396]	111-123		
K1CT71	K1CT71_PSEAI [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa ATCC 700888 [1163394]	111-123		
K1DG09	K1DG09_PSEAI [tr]	Ribonuclease E	1060	Pseudomonas aeruginosa E2 [1163395]	111-123		
K1DG97	K1DG97_PSEAI [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa ATCC 25324 [1163393]	111-123		
K1JW65	K1JW65_9BURK [tr]	Rne/Rng family ribonuclease	1165	Sutterella wadsworthensis 2_1_59BFAA [742823]	112-124		
K2SUM4	K2SUM4_9PSED [tr]	Ribonuclease, Rne/Rng family protein	1100	Pseudomonas avellanae BPIC 631 [1154758]	108-120		
K2T6Q4	K2T6Q4_PSESY [tr]	Ribonuclease E and G	1106	Pseudomonas syringae pv. avellanae str. ISPaVe037 [1154762]	108-120		
K2U845	K2U845_PSESY [tr]	Ribonuclease, Rne/Rng family protein	1106	Pseudomonas syringae pv. avellanae str. ISPaVe013 [1154761]	108-120		
K4KFU1	K4KFU1_SIMAS [tr]	Ribonuclease, Rne/Rng family protein	880	Simiduia agarivorans (strain DSM 21679 / JCM 13881 / BCRC 17597 / SA1) [1117647]	57-69		
K4QR86	K4QR86_BORBO [tr]	Ribonuclease E	1061	Bordetella bronchiseptica 253 [568707]	112-124		
K4TH43	K4TH43_BORBO [tr]	Ribonuclease E	1045	Bordetella bronchiseptica Bbr77 [1208659]	112-124		
K4TLU2	K4TLU2_BORBO [tr]	Ribonuclease E	873	Bordetella bronchiseptica D445 [1208665]	112-124		
K4U411	K4U411_BORBO [tr]	Ribonuclease E	1038	Bordetella bronchiseptica 1289 [1208657]	112-124		
K5X903	K5X903_9PSED [tr]	Ribonuclease E	998	Pseudomonas sp. Chol1 [440512]	98-110		
K6CA77	K6CA77_PSEVI [tr]	Ribonuclease E	1083	Pseudomonas viridiflava UASWS0038 [450396]	108-120		
K6CJI1	K6CJI1_PSEST [tr]	Ribonuclease E	1045	Pseudomonas stutzeri KOS6 [1218352]	98-110		
K6D144	K6D144_CUPNE [tr]	Ribonuclease E (Fragment)	558	Cupriavidus necator HPC(L) [1217418]	112-124		
K6UG08	K6UG08_9PROT [tr]	Uncharacterized protein	858	Sulfuricella denitrificans skB26 [1163617]	114-126		
K7Q2R6	K7Q2R6_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei BPC006 [1229785]	112-124		
K8FXV9	K8FXV9_9XANT [tr]	Ribonuclease E	1223	Xanthomonas axonopodis pv. malvacearum str. GSPB1386 [1118965]	112-124		
K8G0I3	K8G0I3_9XANT [tr]	Ribonuclease E	1223	Xanthomonas axonopodis pv. malvacearum str. GSPB2388 [1127439]	112-124		
K8RSJ8	K8RSJ8_9BURK [tr]	Ribonuclease E	1096	Burkholderia sp. SJ98 [406819]	112-124		
K9NNB9	K9NNB9_9PSED [tr]	Ribonuclease E	1064	Pseudomonas sp. UW4 [1207075]	111-123		
L0B3T7	L0B3T7_9PROT [tr]	Ribonuclease E	829	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255) [1267577]	112-124		
L0B892	L0B892_9PROT [tr]	Ribonuclease E	834	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis) [1208923]	112-124		
L0FHA5	L0FHA5_PSEPU [tr]	Ribonuclease E	1080	Pseudomonas putida HB3267 [1215088]	108-120		
L0GLM3	L0GLM3_PSEST [tr]	Ribonuclease, Rne/Rng family	1060	Pseudomonas stutzeri RCH2 [644801]	111-123		
L0GRJ1	L0GRJ1_9GAMM [tr]	Ribonuclease, Rne/Rng family	1094	Thioflavicoccus mobilis 8321 [765912]	114-126		
L0WH97	L0WH97_9GAMM [tr]	Phosphoric diester hydrolase	1050	Alcanivorax hongdengensis A-11-3 [1177179]	111-123		
L1HNT4	L1HNT4_PSEUO [tr]	Ribonuclease E	1090	Pseudomonas sp. (strain M1) [95619]	111-123		
L1LTI4	L1LTI4_PSEPU [tr]	Ribonuclease E	1058	Pseudomonas putida CSV86 [1005395]	108-120		
L1NS47	L1NS47_9NEIS [tr]	S1 RNA binding domain protein	924	Neisseria sp. oral taxon 020 str. F0370 [1127694]	111-123		
L2EJD6	L2EJD6_9BURK [tr]	Ribonuclease E (Fragment)	555	Cupriavidus sp. HMR-1 [1249621]	112-124		
L5PDD5	L5PDD5_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 87255 [1095700]	111-123		
L5PFY1	L5PFY1_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM422 [1095701]	111-123		
L5PJM2	L5PJM2_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 98080 [1095699]	111-123		
L5PXV4	L5PXV4_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 68094 [1095698]	111-123		
L5PZA4	L5PZA4_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 97021 [1095697]	111-123		
L5Q0X4	L5Q0X4_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 88050 [1095696]	111-123		
L5QGL1	L5QGL1_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 70012 [1095695]	111-123		
L5QI96	L5QI96_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 63041 [1095694]	111-123		
L5QKL1	L5QKL1_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 2006087 [1095693]	111-123		
L5QVT6	L5QVT6_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 2002038 [1095692]	111-123		
L5R0T5	L5R0T5_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 97014 [1095691]	111-123		
L5R3V1	L5R3V1_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis M13255 [1095690]	111-123		
L5RGF6	L5RGF6_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM586 [1095688]	111-123		
L5RGH2	L5RGH2_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM418 [1095689]	111-123		
L5RJU7	L5RJU7_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM762 [1095687]	111-123		
L5S0C3	L5S0C3_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis M7124 [1095685]	111-123		
L5S0T4	L5S0T4_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis M7089 [1095686]	111-123		
L5S1P7	L5S1P7_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM174 [1095684]	111-123		
L5SH54	L5SH54_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM126 [1095683]	111-123		
L5SI50	L5SI50_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 9506 [1095682]	111-123		
L5SJN5	L5SJN5_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 9757 [1095681]	111-123		
L5T055	L5T055_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 12888 [1095680]	111-123		
L5T1P2	L5T1P2_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 4119 [1095679]	111-123		
L5T1Q9	L5T1Q9_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 63049 [1095678]	111-123		
L5TJ17	L5TJ17_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 96023 [1095676]	111-123		
L5TJH6	L5TJH6_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 2004090 [1095677]	111-123		
L5TJZ3	L5TJZ3_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 65014 [1095675]	111-123		
L5U2F1	L5U2F1_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 97020 [1095673]	111-123		
L5U2P4	L5U2P4_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 61103 [1095674]	111-123		
